url_length,dot_count,has_at,is_https,subdomain_count,is_ip_address,suspicious_tld,form_action_mismatch,has_password_field,external_script_count,label
# ── DATASET STRUCTURE REFERENCE ──────────────────────────────────────────────
# Column Descriptions:
#   url_length            : Total character length of the URL (integer)
#   dot_count             : Number of dot (.) characters in the hostname (integer)
#   has_at                : 1 if URL contains @ symbol, 0 otherwise (binary)
#   is_https              : 1 if protocol is HTTPS, 0 if HTTP (binary)
#   subdomain_count       : Number of subdomains (parts before registered domain) (integer)
#   is_ip_address         : 1 if hostname is a raw IPv4/IPv6 address, 0 otherwise (binary)
#   suspicious_tld        : 1 if TLD is in known-bad list (tk,ml,ga,cf,...), 0 otherwise (binary)
#   form_action_mismatch  : 1 if any form submits to different domain, 0 otherwise (binary)
#   has_password_field    : 1 if page contains <input type="password">, 0 otherwise (binary)
#   external_script_count : Count of cross-origin <script src="..."> tags (integer)
#   label                 : 1 = Phishing/Malicious, 0 = Legitimate (binary TARGET)
#
# Recommended real datasets:
#   - PhishTank (https://www.phishtank.com/developer_info.php)
#   - OpenPhish  (https://openphish.com/)
#   - ISCX URL 2016 (https://www.unb.ca/cic/datasets/url-2016.html)
#   - UCDAVIS Phishing Dataset
#
# ── SAMPLE DATA ROWS ─────────────────────────────────────────────────────────
# Phishing examples:
256,6,1,0,4,0,1,1,1,18,1
312,5,1,0,3,1,1,1,1,22,1
189,7,0,0,5,0,1,1,1,15,1
421,4,1,0,2,0,1,1,0,25,1
145,3,0,0,4,1,0,1,1,12,1
198,6,1,1,3,0,1,1,1,8,1
88,5,0,0,4,1,1,0,1,19,1
350,7,1,0,5,0,1,1,1,27,1
# Legitimate examples:
42,1,0,1,0,0,0,0,0,2,0
65,2,0,1,1,0,0,0,1,3,0
28,1,0,1,0,0,0,0,0,1,0
98,2,0,1,1,0,0,0,0,5,0
51,1,0,1,0,0,0,0,1,2,0
73,2,0,1,1,0,0,0,0,4,0
34,1,0,1,0,0,0,0,0,1,0
89,2,0,1,1,0,0,0,1,6,0
